idx,date_str,no2,Latitude,Longitude,AirQualityStation,s5p_path,img_path
119736,1-1-14,7.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119737,1-1-15,7.0,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119738,1-1-16,6.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119739,1-1-17,5.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119740,1-1-18,5.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119741,1-1-19,6.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119742,1-1-20,6.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119743,1-1-21,7.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119744,1-2-14,14.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119745,1-2-15,17.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119746,1-2-16,11.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119747,1-2-17,13.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119748,1-2-18,13.1,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119749,1-2-19,14.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119750,1-2-20,17.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119751,1-2-21,19.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119752,1-3-14,25.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119753,1-3-15,21.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119754,1-3-16,17.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119755,1-3-17,15.2,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119756,1-3-18,11.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119757,1-3-19,15.3,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119758,1-3-20,14.7,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119759,1-3-21,11.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119760,1-4-14,19.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119761,1-4-15,24.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119762,1-4-16,14.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119763,1-4-17,11.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119764,1-4-18,9.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119765,1-4-19,8.9,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119766,1-4-20,7.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119767,1-4-21,7.4,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119768,1-5-14,16.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119769,1-5-15,12.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119770,1-5-16,7.8,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
119771,1-5-17,5.5,32.92118,-96.75355,48_113_1067,48_113_1067/48_113_1067.netcdf,48_113_1067/48_113_1067.npy
